category,rank,task_id,pred_label,prob_cat,max_prob
S1,1,4c7dc4dd_eval,S3,0.1678321361541748,0.248062252998352
S1,2,458e3a53,S3,0.1672219783067703,0.241801768541336
S1,3,da6e95e5,S3,0.1671259552240371,0.223087728023529
S1,4,0934a4d8_eval,S3,0.1669045537710189,0.2405709773302078
S1,5,e84fef15,S3,0.1660673469305038,0.243977889418602
S1,6,a6f40cea_eval,S3,0.1660174876451492,0.2226912230253219
S1,7,642d658d,S3,0.1656872183084488,0.2059866338968277
S1,8,0a1d4ef5,S3,0.1653164029121399,0.2429647594690323
S1,9,afe3afe9,S3,0.165204718708992,0.2365744709968567
S1,10,20a9e565_eval,S3,0.1651638746261596,0.2397625893354416
S2,1,33067df9,S2,0.7277779579162598,0.7277779579162598
S2,2,45a5af55_eval,S2,0.717858612537384,0.717858612537384
S2,3,42f83767,S2,0.6710343360900879,0.6710343360900879
S2,4,973e499e,S2,0.6617193818092346,0.6617193818092346
S2,5,269e22fb_eval,S2,0.5617515444755554,0.5617515444755554
S2,6,469497ad,S2,0.5595882534980774,0.5595882534980774
S2,7,e3f79277,S2,0.5333292484283447,0.5333292484283447
S2,8,5b6cbef5,S2,0.5117643475532532,0.5117643475532532
S2,9,46f33fce,S2,0.5090171694755554,0.5090171694755554
S2,10,695367ec,S2,0.4994401633739471,0.4994401633739471
S3,1,b74ca5d1,S3,0.411760926246643,0.411760926246643
S3,2,ac0c5833,S3,0.3994614481925964,0.3994614481925964
S3,3,62593bfd_eval,S3,0.3958079516887665,0.3958079516887665
S3,4,696d4842,S3,0.3926339149475097,0.3926339149475097
S3,5,16b78196_eval,S3,0.387226939201355,0.387226939201355
S3,6,9772c176,S3,0.3846752941608429,0.3846752941608429
S3,7,f3b10344,S3,0.3843198716640472,0.3843198716640472
S3,8,e1d2900e,S3,0.3842026889324188,0.3842026889324188
S3,9,05a7bcf2,S3,0.3817283809185028,0.3817283809185028
S3,10,753ea09b,S3,0.3816036581993103,0.3816036581993103
C1,1,e88171ec,S3,0.2727970480918884,0.2794432342052459
C1,2,e509e548,S3,0.27156662940979,0.2844437956809997
C1,3,2dd70a9a,S3,0.2711831927299499,0.2896849513053894
C1,4,da515329_eval,S3,0.2708985805511474,0.3098920583724975
C1,5,0d87d2a6,S3,0.2707569301128387,0.2730587422847748
C1,6,31f7f899_eval,S3,0.2706685960292816,0.2727599442005157
C1,7,271d71e2_eval,C1,0.2706556916236877,0.2706556916236877
C1,8,1818057f_eval,C1,0.2706334888935089,0.2706334888935089
C1,9,8eb1be9a,S3,0.2706017792224884,0.2800842225551605
C1,10,4938f0c2,S3,0.2703748047351837,0.3255431354045868
C2,1,da6e95e5,S3,0.1420459300279617,0.223087728023529
C2,2,458e3a53,S3,0.1246030330657959,0.241801768541336
C2,3,de493100,S3,0.123719610273838,0.2346740067005157
C2,4,0934a4d8_eval,S3,0.1230621933937072,0.2405709773302078
C2,5,642d658d,S3,0.1228012368083,0.2059866338968277
C2,6,58490d8a_eval,S3,0.1225868389010429,0.202186107635498
C2,7,e84fef15,S3,0.1222190931439399,0.243977889418602
C2,8,b1986d4b,S3,0.1216052323579788,0.2472156882286071
C2,9,b71a7747,S3,0.1209384202957153,0.2052298039197921
C2,10,4c7dc4dd_eval,S3,0.1207052320241928,0.248062252998352
K1,1,feca6190,S2,0.079791747033596,0.4398325085639953
K1,2,469497ad,S2,0.0779938101768493,0.5595882534980774
K1,3,c92b942c,S2,0.0759138166904449,0.4666343927383423
K1,4,ad7e01d0,S2,0.0756624713540077,0.4383942782878876
K1,5,973e499e,S2,0.074916698038578,0.6617193818092346
K1,6,ac0a08a4,S2,0.0705639496445655,0.4067127406597137
K1,7,c803e39c,S2,0.0688351392745971,0.3766871094703674
K1,8,310f3251,S2,0.067271314561367,0.4016208350658417
K1,9,b190f7f5,S2,0.067006416618824,0.4044688642024994
K1,10,8719f442,S2,0.066245399415493,0.4299684166908264
L1,1,25e02866,C1,0.122168056666851,0.1957574635744094
L1,2,1190e5a7,S3,0.121210791170597,0.2020895332098007
L1,3,6cbe9eb8,S3,0.1209268197417259,0.2032690346240997
L1,4,7bb29440,C1,0.1208667457103729,0.1915738433599472
L1,5,81c0276b,C1,0.1204828992486,0.2027247250080108
L1,6,e1baa8a4,C1,0.1202417686581611,0.2017455846071243
L1,7,2753e76c,C1,0.1199491396546363,0.2002362161874771
L1,8,c64f1187,S3,0.1190534010529518,0.2045004516839981
L1,9,5dbc8537_eval,S3,0.1190268471837043,0.2075767815113067
L1,10,9a4bb226,C1,0.1189670041203498,0.2051049768924713
A1,1,da6e95e5,S3,0.0681230425834655,0.223087728023529
A1,2,67e490f4_eval,S3,0.0663588568568229,0.2526082694530487
A1,3,b1986d4b,S3,0.0634476169943809,0.2472156882286071
A1,4,458e3a53,S3,0.0633693262934684,0.241801768541336
A1,5,de493100,S3,0.0629147440195083,0.2346740067005157
A1,6,e84fef15,S3,0.0623377971351146,0.243977889418602
A1,7,4c7dc4dd_eval,S3,0.0616844333708286,0.248062252998352
A1,8,0a1d4ef5,S3,0.0615579560399055,0.2429647594690323
A1,9,7837ac64,S3,0.0611892752349376,0.2584849894046783
A1,10,0934a4d8_eval,S3,0.0605645813047885,0.2405709773302078
A2,1,9aaea919_eval,S3,0.2309121638536453,0.3552314043045044
A2,2,b74ca5d1,S3,0.2043330669403076,0.411760926246643
A2,3,753ea09b,S3,0.192067414522171,0.3816036581993103
A2,4,b10624e5_eval,S3,0.1905647218227386,0.3628438413143158
A2,5,5b37cb25,S3,0.1901156306266784,0.3777590990066528
A2,6,264363fd,S3,0.1900807023048401,0.3707309067249298
A2,7,7e576d6e,S3,0.1826635152101516,0.3730928003787994
A2,8,62593bfd_eval,S3,0.166694164276123,0.3958079516887665
A2,9,981add89,S3,0.1605565100908279,0.3785941004753113
A2,10,7c66cb00_eval,S3,0.159722238779068,0.3641532361507416
