trial_number,val_acc,encoder_type,lr,batch_size,weight_decay,label_smoothing,embed_dim,use_scheduler,use_cosine,demo_agg,width_mult,depth,mlp_hidden,use_coords,best_epoch,train_acc,train_loss,val_acc_A1,val_acc_A2,val_acc_C1,val_acc_C2,val_acc_K1,val_acc_L1,val_acc_S1,val_acc_S2,val_acc_S3,val_loss,temperature,ctx_d_model,ctx_n_head,ctx_pixel_layers,ctx_grid_layers,ctx_dropout
3,0.21875,cnn,0.0004239861265984166,32,4.171380843524658e-06,0.02111319342055982,512,False,False,mean,2.1922216226111835,3.0,1024.0,False,2,0.24537499999999998,2.2149461269378663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5547645886739097,,,,,,
4,0.2604166666666667,cnn,0.0034765046786433473,32,1.2658289589495038e-05,0.1040525178791264,512,False,True,flatten,1.0047506083449995,2.0,2048.0,True,7,0.266375,1.9632752895355225,0.0,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,2.3441270192464194,16.005457040653074,,,,,
5,0.1640625,context,0.0002116441637673498,64,3.3204552793937194e-05,0.12718402981362223,128,False,False,,,,,,1,0.1737938596491228,2.8142905712127684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2250784635543823,,256.0,4.0,2.0,3.0,0.18211338992285997
6,0.21875,context,0.007288530772775209,32,0.04303700921412384,0.024407126619757104,128,False,True,,,,,,3,0.22487500000000002,1.9930497765541078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1228727102279663,12.538249482245696,128.0,4.0,3.0,1.0,0.022165228566790682
7,0.1640625,cnn,9.0719687123473e-05,64,1.4162040493951174e-06,0.17807175910506823,256,True,False,mean,2.800018138680818,4.0,256.0,True,1,0.20964912280701756,2.0833852291107178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.272817313671112,,,,,,
8,0.2625,cnn,9.826454219565708e-05,16,2.5839177463088415e-06,0.05006753389789791,128,True,True,mean,0.5726785695165261,6.0,512.0,False,2,0.27291666666666664,2.321200293302536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2346678256988524,14.184874830594543,,,,,
9,0.275,cnn,0.005335455956594305,16,4.567864878561295e-07,0.15154034548506873,128,True,False,flatten,2.19878875104271,6.0,256.0,True,3,0.2847222222222222,2.36486474275589,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,2.2080093145370485,,,,,,
11,0.2625,context,0.0011386010806406662,16,0.09480479887476126,0.1434152104702928,256,False,True,,,,,,1,0.1892361111111111,2.427960139513016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.041263484954834,9.713744458779686,128.0,4.0,3.0,1.0,0.1057351777446641
13,0.2625,context,0.008766075779292714,16,2.0754321881114757e-07,0.07138539110376303,768,True,False,,,,,,1,0.11111111111111112,565142.4142258645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,322355.5390625,,512.0,16.0,5.0,3.0,0.2889624073159084
14,0.25,cnn,5.0350884543821704e-05,16,1.0039195498062906e-07,0.06111140262379557,128,True,True,flatten,0.5178100591709076,6.0,512.0,False,1,0.25416666666666665,2.7162288069725036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,2.2990882873535154,6.124304247970699,,,,,
15,0.3,cnn,0.00020131646204381369,16,0.00031419013291086824,0.056870058762409754,128,True,False,flatten,1.7815066809788154,6.0,256.0,False,6,0.27291666666666664,1.893213576078415,0.0,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.14285714285714285,0.7619047619047619,2.01195113658905,,,,,,
18,0.2625,cnn,0.003580942064573253,16,0.0001537357014164459,0.09358219086262573,384,True,False,flatten,1.7347987750027924,5.0,256.0,False,2,0.175,7.888929224014282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.903907775878906,,,,,,
19,0.2875,cnn,0.00017194057627926504,16,0.0018174973796115754,0.007932285017902961,128,True,False,flatten,2.2605094334242937,5.0,256.0,True,7,0.30347222222222225,1.7970594406127929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.9523809523809523,1.9064344406127929,,,,,,
20,0.325,cnn,0.0001572473721024996,16,0.0019893923961642195,0.0028138031298729355,128,True,False,flatten,2.9850510554796075,5.0,2048.0,False,7,0.2791666666666667,1.834940493106842,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.42857142857142855,0.7142857142857143,2.017141819000244,,,,,,
21,0.2625,context,0.0001184660422306651,8,5.799010064560334e-05,0.03292448400872917,128,True,False,,,,,,1,0.215625,2.1475519955158235,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,2.068008637428284,,384.0,8.0,1.0,2.0,0.28652151551389726
23,0.3125,cnn,6.652713276546046e-05,16,0.013723189343848882,0.03910451564358841,512,True,False,flatten,1.294941557593205,5.0,2048.0,False,4,0.24791666666666665,1.889014971256256,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,1.9925548076629638,,,,,,
24,0.2625,cnn,6.377542950262519e-05,16,0.01280473191443697,0.04287752180372049,512,True,False,flatten,1.277868749787435,5.0,2048.0,False,1,0.2548611111111111,2.0051942229270936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9894730567932128,,,,,,
25,0.275,cnn,0.0001523574562898252,16,0.0031721968505808926,0.07400761076168681,512,True,False,flatten,1.4661722996690454,5.0,2048.0,False,3,0.25798611111111114,1.8866867661476134,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.9779947996139526,,,,,,
26,0.3625,cnn,9.79647045622515e-05,16,0.019571088154580304,0.014243501482566225,512,True,False,flatten,2.6205226034075375,6.0,2048.0,False,12,0.31354166666666666,1.791791570186615,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.42857142857142855,0.9523809523809523,1.9042679071426392,,,,,,
27,0.2625,cnn,7.232322174809213e-05,16,0.022228606298659116,0.013794818031572063,512,True,False,flatten,2.6799874106859494,4.0,2048.0,False,1,0.22743055555555552,1.995130604505539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9687970161437989,,,,,,
29,0.35,cnn,0.00012850090819731445,16,0.006585966296921184,0.034141294198877944,512,True,False,flatten,2.5483662854148843,4.0,2048.0,False,10,0.30486111111111114,1.8272824704647064,0.0,0.0,0.6842105263157895,0.4,0.0,0.0,0.0,0.42857142857142855,0.47619047619047616,1.936805510520935,,,,,,
31,0.275,cnn,0.0007628713908406431,8,0.0013137883060091718,0.024719648377560008,512,True,False,flatten,2.5534060787255712,4.0,2048.0,False,4,0.2125,1.983827495574951,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.974048388004303,,,,,,
35,0.325,cnn,5.62201414932795e-05,16,0.01553336938275969,0.04179591023640261,512,True,False,flatten,2.638990357782474,5.0,2048.0,False,2,0.2743055555555555,1.9226491093635558,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,2.0016453742980955,,,,,,
38,0.21875,cnn,0.0001394568467707725,32,1.1467701593821628e-05,0.11310099591193132,512,False,True,flatten,2.483112494599371,4.0,2048.0,False,2,0.27487500000000004,2.0257267236709593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1134756406148276,5.004369235146703,,,,,
39,0.2625,context,0.00022071402279279573,16,0.007596489395469079,0.023932487399537593,512,True,False,,,,,,2,0.22604166666666664,3.0058565974235534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.9047619047619048,2.723158097267151,,256.0,16.0,1.0,3.0,0.17759079133258993
40,0.1640625,cnn,9.273769921878909e-05,64,0.02020818503626915,0.05647942143438815,256,False,False,flatten,2.8088602677386003,6.0,1024.0,False,1,0.18739035087719297,2.063834810256958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.335936725139618,,,,,,
